Plan Name,Disease,Premium Type,Maximum Coverage,Deductible,Co-pay Percentage,Out-of-Pocket,Waiting Period,Claims Settled,Renewability,Hospital Coverage,Benefits,Tax Redemption
Family Health Insurance,Brain Surgery,Premier,988776.0,15%,5%,96404.0,699,100.0,One-time renewability,10542.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.988776.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 699 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Bronchiolitis,Basic,158684.0,5%,20%,44431.0,26,90.0,Renewable,10073.0,Family Health Insurance Basic offers Rs.158684.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 26 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Bronchiolitis,Lite,266596.0,10%,10%,43454.0,15,92.0,Renewable,10140.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.266596.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 15 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Bronchiolitis,Premier,414571.0,15%,5%,40420.0,19,97.0,Renewable,10189.0,"For Family Health Insurance Premier, access Rs.414571.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 19 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Burns,Basic,307214.0,5%,20%,86019.0,67,89.0,Renewable,10077.0,"For Family Health Insurance Basic, receive Rs.307214.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 67 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Burns,Lite,415571.0,10%,10%,67737.0,80,95.0,Renewable,10124.0,"For Family Health Insurance Lite, enjoy Rs.415571.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 80 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Burns,Premier,543941.0,15%,5%,53034.0,59,99.0,Renewable,10327.0,"Family Health Insurance Premier offers Rs.543941.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 59 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,COPD,Basic,487023.0,5%,20%,136366.0,166,89.0,Renewable,10074.0,"Benefit from Rs.487023.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 166 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,COPD,Lite,614336.0,10%,10%,100136.0,152,94.0,Renewable,10266.0,"Family Health Insurance Lite provides Rs.614336.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 152 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,COPD,Premier,746180.0,15%,5%,72752.0,137,99.0,Renewable,10476.0,"Family Health Insurance Premier offers Rs.746180.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 137 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Cancer,Basic,906350.0,5%,20%,253778.0,178,90.0,Renewable,10194.0,"Benefit from Rs.906350.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 178 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Cancer,Lite,1037220.0,10%,10%,169066.0,143,91.0,Renewable,10293.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.1037220.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 143 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Cancer,Premier,1152342.0,15%,5%,112353.0,120,100.0,Renewable,10311.0,"For Family Health Insurance Premier, access Rs.1152342.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 120 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Cardiomyopathy,Basic,503797.0,5%,20%,141062.0,164,88.0,Renewable,10174.0,Family Health Insurance Basic offers Rs.503797.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 164 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Cardiomyopathy,Lite,641354.0,10%,10%,104540.0,141,93.0,Renewable,10231.0,"For Family Health Insurance Lite, enjoy Rs.641354.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 141 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Cardiomyopathy,Premier,753453.0,15%,5%,73461.0,121,98.0,Renewable,10437.0,"For Family Health Insurance Premier, access Rs.753453.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 121 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chemical Burns,Basic,326875.0,5%,20%,91524.0,37,90.0,Renewable,10190.0,"Benefit from Rs.326875.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 37 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chemical Burns,Lite,458604.0,10%,10%,74752.0,15,94.0,Renewable,10234.0,"For Family Health Insurance Lite, enjoy Rs.458604.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 15 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chemical Burns,Premier,571995.0,15%,5%,55768.0,55,97.0,Renewable,10389.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.571995.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 55 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Back Pain,Basic,337037.0,5%,20%,94369.0,170,87.0,Renewable,10037.0,"For Family Health Insurance Basic, receive Rs.337037.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 170 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Back Pain,Lite,454648.0,10%,10%,74107.0,157,94.0,Renewable,10325.0,"For Family Health Insurance Lite, enjoy Rs.454648.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 157 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Back Pain,Premier,574166.0,15%,5%,55980.0,128,96.0,Renewable,10619.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.574166.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 128 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Fatigue Syndrome,Basic,177353.0,5%,20%,49658.0,171,87.0,Renewable,10156.0,"For Family Health Insurance Basic, receive Rs.177353.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 171 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Fatigue Syndrome,Lite,305808.0,10%,10%,49846.0,141,93.0,Renewable,10421.0,"Family Health Insurance Lite provides Rs.305808.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 141 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Fatigue Syndrome,Premier,427033.0,15%,5%,41635.0,139,99.0,Renewable,10429.0,"Family Health Insurance Premier offers Rs.427033.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 139 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Kidney Disease,Basic,558763.0,5%,20%,156453.0,168,88.0,Renewable,10267.0,"For Family Health Insurance Basic, receive Rs.558763.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 168 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Kidney Disease,Lite,708323.0,10%,10%,115456.0,157,92.0,Renewable,10402.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.708323.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 157 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Kidney Disease,Premier,812760.0,15%,5%,79244.0,129,100.0,Renewable,10610.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.812760.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 129 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Liver Disease,Basic,624713.0,5%,20%,174919.0,179,89.0,Renewable,10003.0,"Benefit from Rs.624713.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 179 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Liver Disease,Lite,725051.0,10%,10%,118182.0,140,94.0,Renewable,10285.0,"Family Health Insurance Lite provides Rs.725051.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 140 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Liver Disease,Premier,847058.0,15%,5%,82587.0,121,97.0,Renewable,10516.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.847058.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 121 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Lung Disease,Basic,323491.0,5%,20%,90577.0,174,87.0,Renewable,10115.0,"Benefit from Rs.323491.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 174 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Lung Disease,Lite,443394.0,10%,10%,72272.0,143,91.0,Renewable,10135.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.443394.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 143 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Lung Disease,Premier,573740.0,15%,5%,55939.0,131,98.0,Renewable,10182.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.573740.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 131 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Pancreatitis,Basic,420088.0,5%,20%,117624.0,176,89.0,Renewable,10138.0,Family Health Insurance Basic offers Rs.420088.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 176 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Chronic Pancreatitis,Lite,524812.0,10%,10%,85543.0,156,93.0,Renewable,10338.0,"Family Health Insurance Lite provides Rs.524812.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 156 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Pancreatitis,Premier,672341.0,15%,5%,65553.0,131,97.0,Renewable,10351.0,"Family Health Insurance Premier offers Rs.672341.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 131 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Chronic Sinusitis,Basic,189953.0,5%,20%,53186.0,178,90.0,Renewable,10214.0,"For Family Health Insurance Basic, receive Rs.189953.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 178 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Chronic Sinusitis,Lite,300226.0,10%,10%,48936.0,146,95.0,Renewable,10215.0,"For Family Health Insurance Lite, enjoy Rs.300226.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 146 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Chronic Sinusitis,Premier,411625.0,15%,5%,40133.0,134,96.0,Renewable,10356.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.411625.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 134 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Compound Fracture,Basic,365811.0,5%,20%,102427.0,48,88.0,Renewable,10174.0,"Benefit from Rs.365811.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 48 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Compound Fracture,Lite,511533.0,10%,10%,83379.0,39,95.0,Renewable,10439.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.511533.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 39 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Compound Fracture,Premier,638791.0,15%,5%,62281.0,49,99.0,Renewable,10641.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.638791.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 49 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Concussion,Basic,308349.0,5%,20%,86337.0,63,88.0,Renewable,10228.0,"Benefit from Rs.308349.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 63 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Concussion,Lite,417194.0,10%,10%,68002.0,64,91.0,Renewable,10411.0,"Family Health Insurance Lite provides Rs.417194.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 64 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Concussion,Premier,557315.0,15%,5%,54337.0,79,98.0,Renewable,10694.0,"Family Health Insurance Premier offers Rs.557315.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 79 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Congestive Heart Failure,Basic,490896.0,5%,20%,137450.0,176,88.0,Renewable,10293.0,"For Family Health Insurance Basic, receive Rs.490896.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 176 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Congestive Heart Failure,Lite,633451.0,10%,10%,103252.0,149,91.0,Renewable,10535.0,"Family Health Insurance Lite provides Rs.633451.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 149 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Congestive Heart Failure,Premier,761031.0,15%,5%,74200.0,126,96.0,Renewable,10587.0,"For Family Health Insurance Premier, access Rs.761031.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 126 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Contusions,Basic,350798.0,5%,20%,98222.0,34,87.0,Renewable,10280.0,"Benefit from Rs.350798.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 34 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Contusions,Lite,488140.0,10%,10%,79566.0,31,94.0,Renewable,10541.0,"For Family Health Insurance Lite, enjoy Rs.488140.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 31 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Contusions,Premier,614667.0,15%,5%,59929.0,51,100.0,Renewable,10766.0,"For Family Health Insurance Premier, access Rs.614667.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 51 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Coronary Artery Disease,Basic,391248.0,5%,20%,109548.0,169,88.0,Renewable,10193.0,Family Health Insurance Basic offers Rs.391248.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 169 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Coronary Artery Disease,Lite,504030.0,10%,10%,82156.0,151,95.0,Renewable,10353.0,"For Family Health Insurance Lite, enjoy Rs.504030.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 151 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Coronary Artery Disease,Premier,630442.0,15%,5%,61468.0,120,100.0,Renewable,10578.0,"Family Health Insurance Premier offers Rs.630442.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 120 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Coronary Heart Disease,Basic,482151.0,5%,20%,135002.0,180,87.0,Renewable,10202.0,Family Health Insurance Basic offers Rs.482151.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 180 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Coronary Heart Disease,Lite,618404.0,10%,10%,100799.0,140,91.0,Renewable,10440.0,"For Family Health Insurance Lite, enjoy Rs.618404.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 140 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Coronary Heart Disease,Premier,751964.0,15%,5%,73316.0,140,99.0,Renewable,10597.0,"For Family Health Insurance Premier, access Rs.751964.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 140 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Cardiac Complications,Basic,467010.0,5%,20%,130762.0,21,87.0,Renewable,10030.0,"For Family Health Insurance Basic, receive Rs.467010.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 21 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid Cardiac Complications,Lite,573976.0,10%,10%,93557.0,12,92.0,Renewable,10302.0,"Family Health Insurance Lite provides Rs.573976.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 12 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Cardiac Complications,Premier,674922.0,15%,5%,65804.0,57,97.0,Renewable,10488.0,"Family Health Insurance Premier offers Rs.674922.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 57 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Complications,Basic,397533.0,5%,20%,111309.0,58,89.0,Renewable,10223.0,"Benefit from Rs.397533.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 58 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid Complications,Lite,545227.0,10%,10%,88871.0,51,94.0,Renewable,10432.0,"Family Health Insurance Lite provides Rs.545227.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 51 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Complications,Premier,665582.0,15%,5%,64894.0,54,98.0,Renewable,10480.0,"For Family Health Insurance Premier, access Rs.665582.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 54 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Endothelial Dysfunction,Basic,478191.0,5%,20%,133893.0,44,89.0,Renewable,10248.0,"For Family Health Insurance Basic, receive Rs.478191.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 44 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid Endothelial Dysfunction,Lite,597239.0,10%,10%,97349.0,68,94.0,Renewable,10392.0,"For Family Health Insurance Lite, enjoy Rs.597239.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 68 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Endothelial Dysfunction,Premier,720057.0,15%,5%,70204.0,50,96.0,Renewable,10594.0,"For Family Health Insurance Premier, access Rs.720057.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 50 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Pneumonia,Basic,412466.0,5%,20%,115490.0,52,89.0,Renewable,10234.0,"Benefit from Rs.412466.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 52 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid Pneumonia,Lite,529813.0,10%,10%,86358.0,10,91.0,Renewable,10444.0,"Family Health Insurance Lite provides Rs.529813.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 10 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Pneumonia,Premier,671819.0,15%,5%,65501.0,36,97.0,Renewable,10703.0,"Family Health Insurance Premier offers Rs.671819.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 36 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Reinfection,Basic,370358.0,5%,20%,103699.0,17,89.0,Renewable,10102.0,Family Health Insurance Basic offers Rs.370358.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 17 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Covid Reinfection,Lite,518585.0,10%,10%,84528.0,72,95.0,Renewable,10141.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.518585.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 72 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Reinfection,Premier,647251.0,15%,5%,63106.0,55,99.0,Renewable,10316.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.647251.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 55 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid Respiratory Distress,Basic,459168.0,5%,20%,128566.0,32,87.0,Renewable,10234.0,"For Family Health Insurance Basic, receive Rs.459168.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 32 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid Respiratory Distress,Lite,569080.0,10%,10%,92759.0,80,91.0,Renewable,10476.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.569080.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 80 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid Respiratory Distress,Premier,710688.0,15%,5%,69291.0,38,96.0,Renewable,10567.0,"For Family Health Insurance Premier, access Rs.710688.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 38 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-19,Basic,355965.0,5%,20%,99669.0,33,88.0,Renewable,10241.0,"For Family Health Insurance Basic, receive Rs.355965.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 33 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid-19,Lite,462442.0,10%,10%,75377.0,36,95.0,Renewable,10354.0,"Experience targeted disease coverage with Family Health Insurance Lite - Rs.462442.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 36 days, reflecting a plan that is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-19,Premier,574474.0,15%,5%,56010.0,55,99.0,Renewable,10649.0,"For Family Health Insurance Premier, access Rs.574474.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 55 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-19 Associated ARDS,Basic,452618.0,5%,20%,126732.0,17,87.0,Renewable,10011.0,"Benefit from Rs.452618.0 in disease coverage with Family Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 17 days, ensuring the plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid-19 Associated ARDS,Lite,587010.0,10%,10%,95682.0,44,94.0,Renewable,10048.0,"Family Health Insurance Lite provides Rs.587010.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 44 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-19 Associated ARDS,Premier,731310.0,15%,5%,71302.0,43,96.0,Renewable,10250.0,"For Family Health Insurance Premier, access Rs.731310.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 43 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-19 Induced Cytokine Storm,Basic,503190.0,5%,20%,140893.0,15,89.0,Renewable,10140.0,"For Family Health Insurance Basic, receive Rs.503190.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 15 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid-19 Induced Cytokine Storm,Lite,623014.0,10%,10%,101550.0,44,95.0,Renewable,10412.0,"For Family Health Insurance Lite, enjoy Rs.623014.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 44 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-19 Induced Cytokine Storm,Premier,734754.0,15%,5%,71637.0,39,100.0,Renewable,10481.0,"For Family Health Insurance Premier, access Rs.734754.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 39 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-Induced Inflammation,Basic,403727.0,5%,20%,113043.0,83,89.0,Renewable,10098.0,Family Health Insurance Basic offers Rs.403727.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 83 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Covid-Induced Inflammation,Lite,536195.0,10%,10%,87399.0,45,93.0,Renewable,10386.0,"Family Health Insurance Lite provides Rs.536195.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 45 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-Induced Inflammation,Premier,667692.0,15%,5%,65099.0,67,100.0,Renewable,10406.0,"For Family Health Insurance Premier, access Rs.667692.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 67 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-Related Coagulopathy,Basic,383157.0,5%,20%,107283.0,50,89.0,Renewable,10159.0,"For Family Health Insurance Basic, receive Rs.383157.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 50 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid-Related Coagulopathy,Lite,505033.0,10%,10%,82320.0,38,94.0,Renewable,10170.0,"For Family Health Insurance Lite, enjoy Rs.505033.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 38 days, crafted to be covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-Related Coagulopathy,Premier,622241.0,15%,5%,60668.0,65,96.0,Renewable,10451.0,"For Family Health Insurance Premier, access Rs.622241.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 65 days to wait, this plan is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-Related Myocarditis,Basic,367358.0,5%,20%,102859.0,45,89.0,Renewable,10130.0,"For Family Health Insurance Basic, receive Rs.367358.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 45 days, and this plan is covering all family members with comprehensive benefits.",15%
Family Health Insurance,Covid-Related Myocarditis,Lite,498947.0,10%,10%,81328.0,58,95.0,Renewable,10132.0,"Family Health Insurance Lite provides Rs.498947.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 58 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-Related Myocarditis,Premier,609647.0,15%,5%,59440.0,81,100.0,Renewable,10355.0,"Experience premium disease coverage with Family Health Insurance Premier: Rs.609647.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 81 days - a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-Related Neurological Syndrome,Basic,433833.0,5%,20%,121473.0,61,90.0,Renewable,10078.0,Family Health Insurance Basic offers Rs.433833.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 61 days - a plan that is covering all family members with comprehensive benefits.,15%
Family Health Insurance,Covid-Related Neurological Syndrome,Lite,546861.0,10%,10%,89138.0,21,92.0,Renewable,10103.0,"Family Health Insurance Lite provides Rs.546861.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 21 days, and the plan is covering all family members with comprehensive benefits.",20%
Family Health Insurance,Covid-Related Neurological Syndrome,Premier,670271.0,15%,5%,65350.0,71,98.0,Renewable,10288.0,"Family Health Insurance Premier offers Rs.670271.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 71 days, making it a plan that is covering all family members with comprehensive benefits.",25%
Family Health Insurance,Covid-Related Renal Failure,Basic,417241.0,5%,20%,116827.0,25,88.0,Renewable,10024.0,"For Family Health Insurance Basic, receive Rs.417241.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 25 days, and this plan is covering all family members with comprehensive benefits.",15%
